nama_variabel,jenis_kelamin,tahun,angka,provinsi
Angka Harapan Lama Sekolah,Perempuan,2017,13.03,JAWA TIMUR
Angka Harapan Lama Sekolah,Perempuan,2017,12.77,BANTEN
Angka Harapan Lama Sekolah,Perempuan,2017,13.13,BALI
Angka Harapan Lama Sekolah,Perempuan,2017,13.36,NUSA TENGGARA BARAT
Angka Harapan Lama Sekolah,Perempuan,2017,13.08,NUSA TENGGARA TIMUR
Angka Harapan Lama Sekolah,Perempuan,2017,12.68,KALIMANTAN BARAT
Angka Harapan Lama Sekolah,Perempuan,2017,12.48,KALIMANTAN TENGAH
Angka Harapan Lama Sekolah,Perempuan,2017,12.42,KALIMANTAN SELATAN
Angka Harapan Lama Sekolah,Perempuan,2017,13.67,KALIMANTAN TIMUR
Angka Harapan Lama Sekolah,Perempuan,2017,12.77,KALIMANTAN UTARA
Angka Harapan Lama Sekolah,Perempuan,2017,12.95,SULAWESI UTARA
Angka Harapan Lama Sekolah,Perempuan,2017,13.27,SULAWESI TENGAH
Angka Harapan Lama Sekolah,Perempuan,2017,13.59,SULAWESI SELATAN
Angka Harapan Lama Sekolah,Perempuan,2017,13.54,SULAWESI TENGGARA
Angka Harapan Lama Sekolah,Perempuan,2017,13.5,GORONTALO
Angka Harapan Lama Sekolah,Perempuan,2017,12.71,SULAWESI BARAT
Angka Harapan Lama Sekolah,Perempuan,2017,14.25,MALUKU
Angka Harapan Lama Sekolah,Perempuan,2017,13.43,MALUKU UTARA
Angka Harapan Lama Sekolah,Perempuan,2017,12.1,PAPUA BARAT
Angka Harapan Lama Sekolah,Perempuan,2017,10.24,PAPUA
Angka Harapan Lama Sekolah,Perempuan,2017,12.93,INDONESIA
Angka Harapan Lama Sekolah,Laki-laki,2017,13.95,ACEH
Angka Harapan Lama Sekolah,Laki-laki,2017,12.92,SUMATERA UTARA
Angka Harapan Lama Sekolah,Laki-laki,2017,13.53,SUMATERA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2017,12.84,RIAU
Angka Harapan Lama Sekolah,Laki-laki,2017,12.72,JAMBI
Angka Harapan Lama Sekolah,Laki-laki,2017,12.18,SUMATERA SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2017,13.29,BENGKULU
Angka Harapan Lama Sekolah,Laki-laki,2017,12.29,LAMPUNG
Angka Harapan Lama Sekolah,Laki-laki,2017,11.66,KEP. BANGKA BELITUNG
Angka Harapan Lama Sekolah,Laki-laki,2017,12.76,KEPULAUAN RIAU
Angka Harapan Lama Sekolah,Laki-laki,2017,12.96,DKI JAKARTA
Angka Harapan Lama Sekolah,Laki-laki,2017,12.41,JAWA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2017,12.52,JAWA TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2017,15.54,D I YOGYAKARTA
Angka Harapan Lama Sekolah,Laki-laki,2017,13.21,JAWA TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2017,12.8,BANTEN
Angka Harapan Lama Sekolah,Laki-laki,2017,13.33,BALI
Angka Harapan Lama Sekolah,Laki-laki,2017,13.58,NUSA TENGGARA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2017,13.05,NUSA TENGGARA TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2017,12.46,KALIMANTAN BARAT
Angka Harapan Lama Sekolah,Laki-laki,2017,12.44,KALIMANTAN TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2017,12.53,KALIMANTAN SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2017,13.42,KALIMANTAN TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2017,12.81,KALIMANTAN UTARA
Angka Harapan Lama Sekolah,Laki-laki,2017,12.42,SULAWESI UTARA
Angka Harapan Lama Sekolah,Laki-laki,2017,12.82,SULAWESI TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2017,12.99,SULAWESI SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2017,13.17,SULAWESI TENGGARA
